Players,Nationality,Type,Price Paid,Team,Player_bat,Mat_bat,Inns_bat,NO,Runs_bat,HS,Avg_bat,BF,SR_bat,100,50,4s,POS,Player_bowl,Mat_bowl,Inns_bowl,Ov,Runs_bowl,Wkts,Avg_bowl,Econ,SR_bowl
Dwayne Bravo,Overseas,All-Rounder,44000000,CSK,Dwayne Bravo,10,6,4,23,12,11.5,24,95.83,0,0,1,17.0,Dwayne Bravo,10.0,10.0,34.2,299.0,16.0,18.68,8.7,12.87
Chris Jordan,Overseas,All-Rounder,36000000,CSK,Chris Jordan,4,2,1,11,6*,11,8,137.5,0,0,0,89.0,Chris Jordan,4.0,4.0,12.5,135.0,2.0,67.5,10.51,38.5
Maheesh Theekshana,Overseas,Bowler,7000000,CSK,Maheesh Theekshana,9,2,1,7,7*,7,7,100.0,0,0,0,28.0,Maheesh Theekshana,9.0,9.0,35.0,261.0,12.0,21.75,7.45,17.5
Simarjeet Singh,Indian,Bowler,2000000,CSK,Simarjeet Singh,6,3,2,7,3*,7,8,87.5,0,0,0,68.0,Simarjeet Singh,6.0,6.0,18.0,138.0,4.0,34.5,7.66,27.0
Dwaine Pretorius,Overseas,All-Rounder,5000000,CSK,Dwaine Pretorius,6,5,1,44,22,11,28,157.14,0,0,3,58.0,Dwaine Pretorius,6.0,6.0,21.0,210.0,6.0,35.0,10.0,21.0
Mitchell Santner,Overseas,All-Rounder,19000000,CSK,Mitchell Santner,6,4,2,22,11,11,27,81.48,0,0,3,67.0,Mitchell Santner,6.0,6.0,19.0,130.0,4.0,32.5,6.84,28.5
Mukesh Choudhary,Indian,Bowler,2000000,CSK,Mukesh Choudhary,13,2,1,6,4,6,6,100.0,0,0,1,18.0,Mukesh Choudhary,13.0,13.0,45.3,424.0,16.0,26.5,9.31,17.06
Mitchell Marsh,Overseas,All-Rounder,65000000,DC,Mitchell Marsh,8,8,0,251,89,31.38,189,132.8,0,2,19,70.0,Mitchell Marsh,8.0,4.0,12.0,102.0,4.0,25.5,8.5,18.0
Mustafizur Rahman,Overseas,Bowler,20000000,DC,Mustafizur Rahman,8,1,1,3,3*,-,5,60.0,0,0,0,42.0,Mustafizur Rahman,8.0,8.0,32.0,244.0,8.0,30.5,7.62,24.0
Shardul Thakur,Indian,Bowler,107500000,DC,Shardul Thakur,14,10,2,120,29*,15,87,137.93,0,0,7,20.0,Shardul Thakur,14.0,14.0,48.2,473.0,15.0,31.53,9.78,19.33
Kuldeep Yadav,Indian,Bowler,20000000,DC,Kuldeep Yadav,14,7,6,48,16*,48,52,92.3,0,0,3,5.0,Kuldeep Yadav,14.0,14.0,49.4,419.0,21.0,19.95,8.43,14.19
Lalit Yadav,Indian,All-Rounder,6500000,DC,Lalit Yadav,12,8,1,161,48*,23,146,110.27,0,0,11,69.0,Lalit Yadav,12.0,8.0,18.0,150.0,4.0,37.5,8.33,27.0
Lockie Ferguson,Overseas,Bowler,100000000,GT,Lockie Ferguson,13,3,1,5,5,2.5,4,125.0,0,0,1,30.0,Lockie Ferguson,13.0,13.0,47.4,427.0,12.0,35.58,8.95,23.83
Alzarri Joseph,Overseas,Bowler,24000000,GT,Alzarri Joseph,9,3,2,5,4*,5,7,71.42,0,0,0,47.0,Alzarri Joseph,9.0,9.0,30.0,264.0,7.0,37.71,8.8,25.71
Pradeep Sangwan,Indian,All-Rounder,2000000,GT,Pradeep Sangwan,3,1,0,2,2,2,5,40.0,0,0,0,75.0,Pradeep Sangwan,3.0,3.0,9.0,65.0,3.0,21.66,7.22,18.0
Pat Cummins,Overseas,All-Rounder,72500000,KKR,Pat Cummins,5,5,1,63,56*,15.75,24,262.5,0,1,5,48.0,Pat Cummins,5.0,5.0,19.5,212.0,7.0,30.28,10.68,17.0
Umesh Yadav,Indian,Bowler,20000000,KKR,Umesh Yadav,12,7,3,55,21,13.75,40,137.5,0,0,4,14.0,Umesh Yadav,12.0,12.0,48.0,339.0,16.0,21.18,7.06,18.0
Shivam Mavi,Indian,All-Rounder,72500000,KKR,Shivam Mavi,6,3,1,3,2,1.5,7,42.85,0,0,0,65.0,Shivam Mavi,6.0,6.0,22.0,227.0,5.0,45.4,10.31,26.4
Tim Southee,Overseas,Bowler,15000000,KKR,Tim Southee,9,5,1,2,1*,0.5,12,16.66,0,0,0,23.0,Tim Southee,9.0,9.0,35.0,275.0,14.0,19.64,7.85,15.0
Jason Holder,Overseas,All-Rounder,87500000,LSG,Jason Holder,12,8,2,58,16,9.67,44,131.81,0,0,2,24.0,Jason Holder,12.0,12.0,41.3,391.0,14.0,27.92,9.42,17.78
Deepak Hooda,Indian,All-Rounder,57500000,LSG,Deepak Hooda,15,14,0,451,59,32.21,330,136.66,0,4,36,98.0,Deepak Hooda,15.0,2.0,4.0,43.0,1.0,43.0,10.75,24.0
Krunal Pandya,Indian,All-Rounder,82500000,LSG,Krunal Pandya,14,13,4,183,42,20.33,145,126.2,0,0,16,33.0,Krunal Pandya,14.0,12.0,38.0,265.0,10.0,26.5,6.97,22.8
Avesh Khan,Indian,Bowler,100000000,LSG,Avesh Khan,13,4,3,22,12,22,13,169.23,0,0,0,11.0,Avesh Khan,13.0,13.0,47.4,416.0,18.0,23.11,8.72,15.88
Mohsin Khan,Indian,Bowler,2000000,LSG,Mohsin Khan,9,3,2,23,13*,23,16,143.75,0,0,2,21.0,Mohsin Khan,9.0,9.0,33.0,197.0,14.0,14.07,5.96,14.14
Ayush Badoni,Indian,All-Rounder,2000000,LSG,Ayush Badoni,13,11,3,161,54,20.13,130,123.84,0,1,11,81.0,Ayush Badoni,13.0,2.0,2.0,11.0,2.0,5.5,5.5,6.0
Dewald Brevis,Overseas,Batsman,30000000,MI,Dewald Brevis,7,7,0,161,49,23,113,142.47,0,0,14,103.0,Dewald Brevis,7.0,1.0,0.3,8.0,1.0,8.0,16.0,3.0
Murugan Ashwin,Indian,Bowler,16000000,MI,Murugan Ashwin,8,5,2,12,6,4,14,85.71,0,0,1,36.0,Murugan Ashwin,8.0,8.0,29.0,228.0,9.0,25.33,7.86,19.33
Jaydev Unadkat,Indian,Bowler,13000000,MI,Jaydev Unadkat,5,5,2,59,19*,19.67,37,159.45,0,0,4,57.0,Jaydev Unadkat,5.0,5.0,20.0,190.0,6.0,31.66,9.5,20.0
Daniel Sams,Overseas,All-Rounder,26000000,MI,Daniel Sams,11,10,3,38,15,5.43,36,105.55,0,0,1,26.0,Daniel Sams,11.0,11.0,42.0,370.0,13.0,28.46,8.8,19.38
