Players,Nationality,Type,Price Paid,Team,Player_bat,Mat_bat,Inns_bat,NO,Runs_bat,HS,Avg_bat,BF,SR_bat,100,50,4s,POS,Player_bowl,Mat_bowl,Inns_bowl,Ov,Runs_bowl,Wkts,Avg_bowl,Econ,SR_bowl
Robin Uthappa,Indian,Batsman,20000000,CSK,Robin Uthappa,12.0,11.0,0.0,230.0,88,20.91,171.0,134.5,0.0,2.0,19.0,,,,,,,,,,
Dwayne Bravo,Overseas,All-Rounder,44000000,CSK,Dwayne Bravo,10.0,6.0,4.0,23.0,12,11.5,24.0,95.83,0.0,0.0,1.0,17.0,Dwayne Bravo,10.0,10.0,34.2,299.0,16.0,18.68,8.7,12.87
Ambati Rayudu,Indian,Wicket Keeper,67500000,CSK,Ambati Rayudu,13.0,11.0,0.0,274.0,78,24.91,224.0,122.32,0.0,1.0,25.0,,,,,,,,,,
Tushar Deshpande,Indian,Bowler,2000000,CSK,,,,,,,,,,,,,94.0,Tushar Deshpande,2.0,2.0,7.0,63.0,1.0,63.0,9.0,42.0
Shivam Dube,Indian,All-Rounder,40000000,CSK,Shivam Dube,11.0,11.0,1.0,289.0,95*,28.9,185.0,156.21,0.0,2.0,22.0,,,,,,,,,,
Chris Jordan,Overseas,All-Rounder,36000000,CSK,Chris Jordan,4.0,2.0,1.0,11.0,6*,11,8.0,137.5,0.0,0.0,0.0,89.0,Chris Jordan,4.0,4.0,12.5,135.0,2.0,67.5,10.51,38.5
Maheesh Theekshana,Overseas,Bowler,7000000,CSK,Maheesh Theekshana,9.0,2.0,1.0,7.0,7*,7,7.0,100.0,0.0,0.0,0.0,28.0,Maheesh Theekshana,9.0,9.0,35.0,261.0,12.0,21.75,7.45,17.5
Simarjeet Singh,Indian,Bowler,2000000,CSK,Simarjeet Singh,6.0,3.0,2.0,7.0,3*,7,8.0,87.5,0.0,0.0,0.0,68.0,Simarjeet Singh,6.0,6.0,18.0,138.0,4.0,34.5,7.66,27.0
Devon Conway,Overseas,Batsman,10000000,CSK,Devon Conway,7.0,7.0,1.0,252.0,87,42,173.0,145.66,0.0,3.0,22.0,,,,,,,,,,
Dwaine Pretorius,Overseas,All-Rounder,5000000,CSK,Dwaine Pretorius,6.0,5.0,1.0,44.0,22,11,28.0,157.14,0.0,0.0,3.0,58.0,Dwaine Pretorius,6.0,6.0,21.0,210.0,6.0,35.0,10.0,21.0
Mitchell Santner,Overseas,All-Rounder,19000000,CSK,Mitchell Santner,6.0,4.0,2.0,22.0,11,11,27.0,81.48,0.0,0.0,3.0,67.0,Mitchell Santner,6.0,6.0,19.0,130.0,4.0,32.5,6.84,28.5
Mukesh Choudhary,Indian,Bowler,2000000,CSK,Mukesh Choudhary,13.0,2.0,1.0,6.0,4,6,6.0,100.0,0.0,0.0,1.0,18.0,Mukesh Choudhary,13.0,13.0,45.3,424.0,16.0,26.5,9.31,17.06
Prashant Solanki,Indian,Bowler,12000000,CSK,,,,,,,,,,,,,82.0,Prashant Solanki,2.0,2.0,6.0,38.0,2.0,19.0,6.33,18.0
David Warner,Overseas,Batsman,62500000,DC,David Warner,12.0,12.0,3.0,432.0,92*,48,287.0,150.52,0.0,5.0,52.0,,,,,,,,,,
Mitchell Marsh,Overseas,All-Rounder,65000000,DC,Mitchell Marsh,8.0,8.0,0.0,251.0,89,31.38,189.0,132.8,0.0,2.0,19.0,70.0,Mitchell Marsh,8.0,4.0,12.0,102.0,4.0,25.5,8.5,18.0
Mustafizur Rahman,Overseas,Bowler,20000000,DC,Mustafizur Rahman,8.0,1.0,1.0,3.0,3*,-,5.0,60.0,0.0,0.0,0.0,42.0,Mustafizur Rahman,8.0,8.0,32.0,244.0,8.0,30.5,7.62,24.0
Shardul Thakur,Indian,Bowler,107500000,DC,Shardul Thakur,14.0,10.0,2.0,120.0,29*,15,87.0,137.93,0.0,0.0,7.0,20.0,Shardul Thakur,14.0,14.0,48.2,473.0,15.0,31.53,9.78,19.33
Kuldeep Yadav,Indian,Bowler,20000000,DC,Kuldeep Yadav,14.0,7.0,6.0,48.0,16*,48,52.0,92.3,0.0,0.0,3.0,5.0,Kuldeep Yadav,14.0,14.0,49.4,419.0,21.0,19.95,8.43,14.19
Sarfaraz Khan,Indian,All-Rounder,2000000,DC,Sarfaraz Khan,6.0,5.0,2.0,91.0,36*,30.33,67.0,135.82,0.0,0.0,9.0,,,,,,,,,,
Mandeep Singh,Indian,Batsman,11000000,DC,Mandeep Singh,3.0,3.0,0.0,18.0,18,6,23.0,78.26,0.0,0.0,4.0,,,,,,,,,,
Chetan Sakariya,Indian,Bowler,42000000,DC,,,,,,,,,,,,,76.0,Chetan Sakariya,3.0,3.0,11.0,84.0,3.0,28.0,7.63,22.0
Ripal Patel,Indian,All-Rounder,2000000,DC,Ripal Patel,2.0,1.0,0.0,6.0,6,6,3.0,200.0,0.0,0.0,0.0,,,,,,,,,,
Lalit Yadav,Indian,All-Rounder,6500000,DC,Lalit Yadav,12.0,8.0,1.0,161.0,48*,23,146.0,110.27,0.0,0.0,11.0,69.0,Lalit Yadav,12.0,8.0,18.0,150.0,4.0,37.5,8.33,27.0
Rovman Powell,Overseas,Batsman,28000000,DC,Rovman Powell,14.0,12.0,2.0,250.0,67*,25,167.0,149.7,0.0,1.0,10.0,,,,,,,,,,
Tim Seifert,Overseas,Wicket Keeper,5000000,DC,Tim Seifert,2.0,2.0,0.0,24.0,21,12,19.0,126.31,0.0,0.0,4.0,,,,,,,,,,
Mohammad Shami,Indian,Bowler,62500000,GT,,,,,,,,,,,,,6.0,Mohammad Shami,16.0,16.0,61.0,488.0,20.0,24.4,8.0,18.3
David Miller,Overseas,Batsman,30000000,GT,David Miller,16.0,16.0,9.0,481.0,94*,68.71,337.0,142.72,0.0,2.0,32.0,,,,,,,,,,
Wriddhiman Saha,Indian,Wicket Keeper,19000000,GT,Wriddhiman Saha,11.0,11.0,1.0,317.0,68,31.7,259.0,122.39,0.0,3.0,40.0,,,,,,,,,,
Matthew Wade,Overseas,Wicket Keeper,24000000,GT,Matthew Wade,10.0,10.0,0.0,157.0,35,15.7,138.0,113.76,0.0,0.0,23.0,,,,,,,,,,
Lockie Ferguson,Overseas,Bowler,100000000,GT,Lockie Ferguson,13.0,3.0,1.0,5.0,5,2.5,4.0,125.0,0.0,0.0,1.0,30.0,Lockie Ferguson,13.0,13.0,47.4,427.0,12.0,35.58,8.95,23.83
